7zip 24.09-3
mtdev 1.1.7-1
mtools 1:4.0.48-1
mujs 1.3.6-1
multipath-tools 0.11.0-1
musl 1.2.5-5
mypaint-brushes1 1.3.1-2
nasm 2.16.03-1
ncurses 6.5-3
ndctl 79-1
neon 0.34.0-1
neovim 0.11.0-2
net-snmp 5.9.4-6
nettle 3.10.1-1
networkmanager 1.52.0-1
nilfs-utils 2.2.11-1
nm-connection-editor 1.36.0-1
node-gyp 11.1.0-3
nodejs 23.9.0-1
nodejs-nopt 7.2.1-1
noto-fonts-emoji 1:2.047-1
npm 11.2.0-1
npth 1.8-1
nspr 4.36-1
nss 3.109-1
ntfs-3g 2022.10.3-1
ntp 4.2.8.p18-2
numactl 2.0.19-1
nvidia 570.133.07-2
nvidia-utils 570.133.07-1
obsidian 1.8.9-2
ocl-icd 2.3.2-2
openal 1.24.3-1
opencore-amr 0.1.6-2
openexr 3.3.3-1
openh264 2.6.0-1
openjpeg2 2.5.3-1
openssh 9.9p2-1
openssl 3.4.1-1
optipng 0.7.8-1
opus 1.5.2-1
orc 0.4.41-1
os-prober 1.83-1
ostree 2025.2-2
p11-kit 0.25.5-1
pacman 7.0.0.r6.gc685ae6-2
pacman-contrib 1.11.0-1
pacman-mirrorlist 20250311-1
pam 1.7.0-2
pambase 20230918-2
pango 1:1.56.3-1
pangomm-2.48 2.56.1-1
parted 3.6-2
patch 2.7.6-10
pavucontrol 1:6.1-1
pciutils 3.13.0-2
pcre 8.45-4
pcre2 10.45-1
pcsclite 2.3.2-1
perl 5.40.1-2
perl-error 0.17030-1
perl-libintl-perl 1.35-1
perl-mailtools 2.22-1
perl-timedate 2.33-7
picom 12.5-1
pinentry 1.3.1-5
piper 0.8-2
pipewire 1:1.4.1-1
pixman 0.44.2-1
pkgconf 2.4.3-1
playerctl 2.4.1-4
podofo 0.10.3-1
polkit 126-2
polkit-gnome 0.105-11
polybar 3.7.2-2
poppler 25.03.0-1
poppler-data 0.4.12-2
poppler-glib 25.03.0-1
popt 1.19-2
portaudio 1:19.7.0-3
procps-ng 4.0.5-3
protobuf 30.1-1
psmisc 23.7-1
pulseaudio 17.0+r43+g3e2bb8a1e-1
python 3.13.2-1
python-apsw 3.49.1.0-1
python-argcomplete 3.5.3-1
python-attrs 23.2.0-4
python-autocommand 2.2.2-7
python-beautifulsoup4 4.12.3-3
python-brotli 1.1.0-3
python-brotlicffi 1.1.0.0-3
python-cairo 1.27.0-2
python-cffi 1.17.1-2
python-chardet 5.2.0-6
python-click 8.1.8-1
python-cryptography 44.0.2-1
python-css-parser 1.0.10-3
python-cssselect 1.2.0-8
python-dateutil 2.9.0-6
python-dbus 1.4.0-1
python-deprecated 1.2.16-1
python-distro 1.9.0-3
python-dnspython 1:2.7.0-1
python-evdev 1.9.0-1
python-faust-cchardet 2.1.19-3
python-feedparser 6.0.11-3
python-filelock 3.18.0-1
python-gobject 3.52.3-3
python-html2text 2024.2.26-2
python-html5-parser 0.4.12-3
python-html5lib 1.1-15
python-ifaddr 0.2.0-6
python-inflate64 1.0.1-1
python-jaconv 0.4.0-1
python-jaraco.collections 5.1.0-1
python-jaraco.context 6.0.1-1
python-jaraco.functools 4.1.0-1
python-jaraco.text 4.0.0-2
python-jeepney 0.9.0-1
python-legacy-cgi 2.6.3-2
python-lxml 5.3.1-1
python-lxml-html-clean 0.2.0-2
python-markdown 3.7-2
python-mechanize 1:0.4.10-2
python-more-itertools 10.6.0-1
python-mpd2 3.1.1-3
python-msgpack 1.0.5-3
python-multivolumefile 0.2.3-9
python-netifaces 0.11.0-7
python-packaging 24.2-3
python-pdftotext 2.2.2-9
python-pillow 11.1.0-1
python-pip 25.0.1-1
python-pipx 1.7.1-2
python-platformdirs 4.3.6-2
python-psutil 7.0.0-1
python-py7zr 0.22.0-4
python-pybcj 1.0.3-1
python-pychm 0.8.6-9
python-pycparser 2.22-3
python-pycryptodome 3.22.0-1
python-pycryptodomex 3.22.0-1
python-pycups 2.0.4-3
python-pygments 2.19.1-1
python-pykakasi 2.3.0-2
python-pyppmd 1.1.1-1
python-pyqt6 6.8.1-2
python-pyqt6-sip 13.10.0-1
python-pyqt6-webengine 6.8.0-2
python-pyzstd 0.16.2-2
python-regex 2024.11.6-2
python-setuptools 1:75.8.0-1
python-sgmllib3k 1.0.0-7
python-six 1.17.0-1
python-soupsieve 2.6-2
python-systemd 235-4
python-texttable 1.7.0-3
python-unrardll 0.1.7-4
python-userpath 1.9.2-3
python-webencodings 0.5.1-12
python-wheel 0.45.1-1
python-wrapt 1.16.0-4
python-xxhash 3.5.0-1
python-zeroconf 0.146.1-1
python-zstandard 0.23.0-2
qemu-base 9.2.3-1
qemu-common 9.2.3-1
qemu-img 9.2.3-1
qemu-system-x86 9.2.3-1
qemu-system-x86-firmware 9.2.3-1
qpdf 12.0.0-1
qt5-base 5.15.16+kde+r130-4
qt5-declarative 5.15.16+kde+r22-3
qt5-svg 5.15.16+kde+r5-3
qt5-translations 5.15.16-3
qt5-wayland 5.15.16+kde+r60-1
qt5-x11extras 5.15.16-3
qt6-base 6.8.3-1
qt6-declarative 6.8.3-1
qt6-imageformats 6.8.3-1
qt6-multimedia 6.8.3-1
qt6-multimedia-ffmpeg 6.8.3-1
qt6-positioning 6.8.3-1
qt6-speech 6.8.3-1
qt6-svg 6.8.3-1
qt6-translations 6.8.3-1
qt6-wayland 6.8.3-1
qt6-webchannel 6.8.3-1
qt6-webengine 6.8.3-1
ranger 1.9.4-4
raptor 2.0.16-6
rasqal 1:0.9.33-7
rav1e 0.7.1-1
re2 1:20240702-4
readline 8.2.013-1
redland 1:1.0.17-9
ripgrep 14.1.1-1
rnnoise 1:0.2-1
rofi 1.7.8-2
rsync 3.4.1-2
rtkit 0.13-3
rubberband 4.0.0-1
samba 2:4.22.0-1
sane 1.3.1-2
sdl2-compat 2.32.52-1
sdl3 3.2.8-1
seabios 1.16.3-1
sed 4.9-3
semver 7.7.1-1
shaderc 2025.1-1
shadow 4.17.4-1
shared-mime-info 2.4-1
simdjson 1:3.12.2-1
slang 2.3.3-3
sleuthkit 4.13.0-1
smartmontools 7.4-2
smbclient 2:4.22.0-1
snappy 1.2.2-1
sof-firmware 2025.01.1-1
sound-theme-freedesktop 0.8-6
speex 1.2.1-2
speexdsp 1.2.1-2
spirv-tools 1:1.4.309.0-1
sqlite 3.49.1-1
squashfs-tools 4.6.1-2
srt 1.5.4-1
startup-notification 0.12-8
stow 2.4.1-1
strace 6.14-1
sudo 1.9.16.p2-2
suitesparse 7.10.1-1
supermin 5.3.5-1
svt-av1 3.0.2-1
sxhkd 0.6.2-4
sxiv 26-2
sysfsutils 2.1.1-2
syslinux 6.04.pre3.r3.g05ac953c-3
system-config-printer 1.5.18-5
systemd 257.4-1
systemd-libs 257.4-1
systemd-resolvconf 257.4-1
systemd-sysvcompat 257.4-1
talloc 2.4.3-1
tar 1.35-2
tdb 1.4.13-1
telegram-desktop 5.13.1-1
tevent 1:0.16.2-1
texinfo 7.2-1
tgpt 2.9.2-1
thin-provisioning-tools 1.1.0-1
thunar 4.20.2-1
thunar-archive-plugin 0.5.3-1
thunar-volman 4.20.0-2
tinysparql 3.9.1-1
tmux 3.5_a-1
tpm2-tss 4.1.3-1
tree-sitter 0.25.3-1
tree-sitter-c 0.23.5-1
tree-sitter-lua 0.2.0-1
tree-sitter-markdown 0.3.1-1
tree-sitter-query 0.5.0-1
tree-sitter-vim 0.4.0-1
tree-sitter-vimdoc 3.0.0-1
tslib 1.23-1
ttf-dejavu 2.37+18+g9b5d1b2f-7
ttf-jetbrains-mono-nerd 3.3.0-1
ttf-liberation 2.1.5-2
tumbler 4.20.0-2
tzdata 2025b-1
uchardet 0.0.8-3
udisks2 2.10.1-5
ufw 0.36.2-5
unibilium 2.1.2-1
unzip 6.0-22
usbutils 018-1
util-linux 2.41-4
util-linux-libs 2.41-4
v4l-utils 1.28.1-2
vapoursynth R70-2
vde2 2.3.3-6
vid.stab 1.1.1-2
vim 9.1.1236-1
vim-runtime 9.1.1236-1
virtiofsd 1.13.1-1
vmaf 3.0.0-1
volume_key 0.3.12-10
vulkan-headers 1:1.4.309.0-1
vulkan-icd-loader 1.4.309.0-1
vulkan-nouveau 1:25.0.2-2
vulkan-tools 1.4.309.0-1
wayland 1.23.1-1
webrtc-audio-processing-1 1.3-4
wget 1.25.0-2
which 2.23-1
wireguard-tools 1.0.20210914-2
wolfssl 5.7.6-1
wpa_supplicant 2:2.11-3
x264 3:0.164.r3108.31e19f9-2
x265 4.0-1
xarchiver 0.5.4.25-1
xcb-imdkit 1.0.9-1
xcb-proto 1.17.0-3
xcb-util 0.4.1-2
xcb-util-cursor 0.1.5-1
xcb-util-image 0.4.1-3
xcb-util-keysyms 0.4.1-5
xcb-util-renderutil 0.3.10-2
xcb-util-wm 0.4.2-2
xcb-util-xrm 1.3-3
xclip 0.13-6
xdg-dbus-proxy 0.1.6-1
xdg-desktop-portal 1.20.0-2
xdg-utils 1.2.1-1
xf86-input-libinput 1.5.0-1
xf86-video-intel 1:2.99.917+939+g4a64400e-1
xf86-video-vesa 2.6.0-2
xfconf 4.20.0-2
xfsprogs 6.13.0-1
xkeyboard-config 2.44-1
xmlsec 1.3.7-1
xorg-bdftopcf 1.1.2-1
xorg-docs 1.7.3-2
xorg-font-util 1.4.1-2
xorg-fonts-100dpi 1.0.4-3
xorg-fonts-75dpi 1.0.4-2
xorg-fonts-alias-100dpi 1.0.5-1
xorg-fonts-alias-75dpi 1.0.5-1
xorg-fonts-encodings 1.1.0-1
xorg-iceauth 1.0.10-1
xorg-mkfontscale 1.2.3-1
xorg-server 21.1.16-1
xorg-server-common 21.1.16-1
xorg-server-devel 21.1.16-1
xorg-server-xephyr 21.1.16-1
xorg-server-xnest 21.1.16-1
xorg-server-xvfb 21.1.16-1
xorg-sessreg 1.1.3-2
xorg-setxkbmap 1.3.4-2
xorg-smproxy 1.0.7-2
xorg-util-macros 1.20.2-1
xorg-x11perf 1.7.0-1
xorg-xauth 1.1.4-1
xorg-xbacklight 1.2.4-1
xorg-xcmsdb 1.0.7-1
xorg-xcursorgen 1.0.8-2
xorg-xdpyinfo 1.3.4-2
xorg-xdriinfo 1.0.7-2
xorg-xev 1.2.6-1
xorg-xgamma 1.0.7-2
xorg-xhost 1.0.10-1
xorg-xinit 1.4.4-1
xorg-xinput 1.6.4-2
xorg-xkbcomp 1.4.7-1
xorg-xkbevd 1.1.6-1
xorg-xkbutils 1.0.6-1
xorg-xkill 1.0.6-2
xorg-xlsatoms 1.1.4-2
xorg-xlsclients 1.1.5-2
xorg-xmodmap 1.0.11-2
xorg-xpr 1.2.0-1
xorg-xprop 1.2.8-1
xorg-xrandr 1.5.3-1
xorg-xrdb 1.2.2-2
xorg-xrefresh 1.1.0-1
xorg-xset 1.2.5-2
xorg-xsetroot 1.1.3-2
xorg-xvinfo 1.1.5-2
xorg-xwayland 24.1.6-1
xorg-xwd 1.0.9-2
xorg-xwininfo 1.1.6-2
xorg-xwud 1.0.7-1
xorgproto 2024.1-2
xvidcore 1.3.7-3
xxhash 0.8.3-1
xz 5.8.0-1
yara 4.5.1-1
yyjson 0.10.0-1
zeromq 4.3.5-2
zimg 3.0.5-1
zlib 1:1.3.1-2
zoxide 0.9.7-1
zsh 5.9-5
zsh-autosuggestions 0.7.1-1
zsh-syntax-highlighting 0.8.0-1
zstd 1.5.7-2
zxing-cpp 2.3.0-4
